time,position,velocity,acceleration
2.240000000000000213e+01,1.438991400000000365e+00,5.773240000000136041e-01,-9.810000000021495969e-02
2.250000000000000000e+01,1.496723800000000493e+00,5.675139999999919693e-01,-9.809999999998625375e-02
2.260000000000000142e+01,1.553475200000000500e+00,5.577039999999932052e-01,-9.809999999981876273e-02
2.270000000000000284e+01,1.609245600000000609e+00,5.478940000000115385e-01,-9.810000000018165300e-02
2.280000000000000071e+01,1.664035000000000597e+00,5.380839999999932344e-01,-9.809999999982542407e-02
2.290000000000000213e+01,1.717843400000000686e+00,5.282740000000109015e-01,-9.810000000017388144e-02
2.300000000000000000e+01,1.770670800000000655e+00,5.184639999999933746e-01,-9.809999999998736397e-02
2.310000000000000142e+01,1.822517200000000726e+00,5.086539999999944994e-01,-9.809999999983541608e-02
2.320000000000000284e+01,1.873382600000000897e+00,4.988440000000111674e-01,-9.810000000016444455e-02
2.330000000000000071e+01,1.923267000000000948e+00,4.890339999999945841e-01,-9.809999999982042806e-02
2.340000000000000213e+01,1.972170400000001100e+00,4.792240000000127509e-01,-9.810000000017943256e-02
2.350000000000000000e+01,2.020092800000001354e+00,4.694139999999946689e-01,-9.809999999998736397e-02
2.360000000000000142e+01,2.067034200000001487e+00,4.596039999999957937e-01,-9.809999999987482899e-02
2.370000000000000284e+01,2.112994600000001721e+00,4.497940000000085203e-01,-9.810000000014723609e-02
2.380000000000000071e+01,2.157974000000001613e+00,4.399839999999936579e-01,-9.809999999983763652e-02
2.390000000000000213e+01,2.201972400000001606e+00,4.301740000000101039e-01,-9.810000000014001964e-02
2.400000000000000000e+01,2.244989800000001701e+00,4.203639999999959631e-01,-9.809999999998680886e-02
2.410000000000000142e+01,2.287026200000001896e+00,4.105539999999971434e-01,-9.809999999989259256e-02
2.420000000000000284e+01,2.328081600000002194e+00,4.007440000000080937e-01,-9.810000000012947252e-02
2.430000000000000071e+01,2.368156000000002148e+00,3.909339999999950077e-01,-9.809999999985540009e-02
2.440000000000000213e+01,2.407249400000002204e+00,3.811240000000096773e-01,-9.810000000012225607e-02
2.450000000000000000e+01,2.445361800000002361e+00,3.713139999999973129e-01,-9.810000000003177290e-02
2.460000000000000142e+01,2.482493200000002620e+00,3.615039999999939968e-01,-9.809999999986539210e-02
2.470000000000000284e+01,2.518643600000002536e+00,3.516940000000076672e-01,-9.810000000011226406e-02
2.480000000000000071e+01,2.553813000000002553e+00,3.418839999999963020e-01,-9.809999999987205344e-02
2.490000000000000213e+01,2.588001400000002672e+00,3.320740000000093062e-01,-9.810000000010504762e-02
2.500000000000000000e+01,2.621208800000002892e+00,3.222639999999986626e-01,-9.810000000003177290e-02
2.510000000000000142e+01,2.653435200000003213e+00,3.124539999999953466e-01,-9.809999999988315567e-02
2.520000000000000284e+01,2.684680600000003192e+00,3.026440000000072406e-01,-9.810000000009450050e-02
2.530000000000000071e+01,2.714945000000003272e+00,2.928339999999976517e-01,-9.809999999988981700e-02
2.540000000000000213e+01,2.744228400000003454e+00,2.830240000000088796e-01,-9.810000000013224808e-02
2.550000000000000000e+01,2.772530800000003737e+00,2.732139999999955160e-01,-9.809999999998680886e-02
2.560000000000000142e+01,2.799852200000003677e+00,2.634039999999966963e-01,-9.809999999990091923e-02
2.570000000000000284e+01,2.826192600000003718e+00,2.535940000000068140e-01,-9.810000000007701448e-02
2.580000000000000071e+01,2.851552000000003861e+00,2.437839999999989737e-01,-9.809999999995171194e-02
2.590000000000000213e+01,2.875930400000004106e+00,2.339740000000040121e-01,-9.810000000007035315e-02
2.600000000000000000e+01,2.899327800000004007e+00,2.241639999999968380e-01,-9.809999999998708642e-02
2.610000000000000142e+01,2.921744200000004010e+00,2.143539999999979906e-01,-9.809999999991785014e-02
2.620000000000000284e+01,2.943179600000004115e+00,2.045440000000064151e-01,-9.810000000005980603e-02
2.630000000000000071e+01,2.963634000000004320e+00,1.947340000000002957e-01,-9.809999999996919795e-02
2.640000000000000213e+01,2.983107400000004628e+00,1.849240000000035855e-01,-9.810000000005286713e-02
2.650000000000000000e+01,3.001599800000004592e+00,1.751139999999981600e-01,-9.809999999998708642e-02
2.660000000000000142e+01,3.019111200000004658e+00,1.653039999999993126e-01,-9.809999999993533615e-02
2.670000000000000284e+01,3.035641600000004825e+00,1.554940000000059885e-01,-9.810000000008672894e-02
2.680000000000000071e+01,3.051191000000005094e+00,1.456839999999971769e-01,-9.809999999994227504e-02
2.690000000000000213e+01,3.065759400000005019e+00,1.358740000000031589e-01,-9.810000000003538112e-02
2.700000000000000000e+01,3.079346800000005047e+00,1.260639999999994820e-01,-9.809999999998694764e-02
2.710000000000000142e+01,3.091953200000005175e+00,1.162540000000006485e-01,-9.809999999999723108e-02
2.720000000000000284e+01,3.103578600000005405e+00,1.064440000000011349e-01,-9.810000000002483400e-02
2.730000000000000071e+01,3.114223000000005293e+00,9.663399999999851275e-02,-9.809999999995976105e-02
2.740000000000000213e+01,3.123886400000005281e+00,8.682400000000274620e-02,-9.810000000001789511e-02
2.750000000000000000e+01,3.132568800000005371e+00,7.701400000000081791e-02,-9.809999999998708642e-02
2.760000000000000142e+01,3.140270200000005563e+00,6.720400000000197049e-02,-9.810000000001457832e-02
